GuestId,GuestName,Age,Contact,Income,Shoppercategory
G001,Meera Menon,27,9813356886,"14,03,556",Frequent
G002,Nikhil Verma,34,9828728463,"6,79,895",Family Shopper
G003,Naina Bose,25,9889254563,"20,19,668",Budget
G004,Kunal Patel,21,9822575562,"11,67,034",Frequent
G005,Sana Khan,52,9890801586,"3,61,299",Family Shopper
G006,Kabir Reddy,32,9897226012,"20,09,593",Frequent
G007,Bhavna Malhotra,48,9889089901,"14,16,816",Budget
G008,Arjun Singh,30,9866722344,"16,77,114",VIP
G009,Kavya Bhatia,29,9838898923,"16,61,779",Premium
G010,Aditya Das,25,9860992979,"6,55,657",Student
G011,Radhika Nair,42,9891030736,"13,59,480",Budget
G012,Aniket Jain,49,9881971316,"7,73,558",Value Seeker
G013,Diya Iyer,25,9884093639,"14,79,678",Occasional
G014,Vivek Mishra,43,9887490893,"10,56,516",Premium
G015,Neha Gupta,22,9898753260,"12,05,874",VIP
G016,Suresh Chopra,25,9841244663,"6,73,630",Value Seeker
G017,Varun Joshi,37,9870855700,"17,80,217",Luxury
G018,Deepak Ahuja,43,9857683626,"11,28,736",VIP
G019,Madhuri Kapoor,24,9891756179,"9,67,807",Family Shopper
G020,Aarav Sharma,35,9831931511,"21,88,859",Value Seeker
G021,Kriti Menon,37,9895899313,"11,71,132",Student
G022,Karan Verma,23,9840742311,"3,84,638",Student
G023,Anjali Bose,45,9845935572,"5,27,615",Frequent
G024,Ritika Patel,56,9852235350,"11,41,820",Trend Follower
G025,Tanya Khan,45,9896282117,"21,74,564",Luxury
G026,Pranav Reddy,36,9828740864,"12,84,430",Family Shopper
G027,Nidhi Malhotra,54,9845264581,"20,46,981",Occasional
G028,Sanjay Singh,45,9858586340,"11,69,897",Luxury
G029,Sneha Bhatia,52,9876238574,"6,31,301",Budget
G030,Rohan Das,27,9830514014,"9,21,013",Value Seeker
G031,Asha Nair,58,9818526544,"18,63,831",Value Seeker
G032,Harsh Jain,58,9872820592,"24,69,266",VIP
G033,Simran Iyer,55,9811540956,"7,30,464",Family Shopper
G034,Gaurav Mishra,37,9896028436,"16,76,799",Premium
G035,Pallavi Gupta,38,9868353204,"9,13,361",Trend Follower
G036,Amit Chopra,20,9845351479,"23,49,610",Luxury
G037,Pooja Joshi,52,9824282218,"15,01,768",Family Shopper
G038,Manoj Ahuja,58,9836697396,"8,91,054",Student
G039,Isha Kapoor,30,9882394227,"24,74,464",Budget
G040,Yash Sharma,58,9853507489,"22,99,360",Budget
G041,Lakshmi Menon,27,9858718453,"15,39,807",Frequent
G042,Tarun Verma,23,9842329237,"5,80,331",Premium
G043,Priya Bose,51,9819289546,"24,84,331",Luxury
G044,Vikram Patel,28,9898550256,"22,43,478",Family Shopper
G045,Divya Khan,30,9845575298,"24,63,224",Occasional
G046,Siddharth Reddy,47,9838427073,"10,93,688",VIP
G047,Shreya Malhotra,45,9897225156,"18,16,239",Trend Follower
G048,Anirudh Singh,53,9870597444,"7,57,528",Frequent
G049,Mansi Bhatia,34,9818593410,"16,68,033",Budget
G050,Rahul Das,57,9884346088,"12,15,171",Occasional
G051,Meera Nair,34,9810965138,"5,47,766",Budget
G052,Nikhil Jain,34,9819046318,"3,81,755",Student
G053,Naina Iyer,24,9879008866,"12,48,263",VIP
G054,Kunal Mishra,51,9838754377,"8,04,956",Occasional
G055,Sana Gupta,56,9873440831,"12,69,204",Trend Follower
G056,Kabir Chopra,46,9835556386,"6,45,631",Premium
G057,Bhavna Joshi,47,9857553014,"20,26,617",Value Seeker
G058,Arjun Ahuja,49,9817270733,"6,62,794",Budget
G059,Kavya Kapoor,45,9855540424,"7,08,307",Frequent
G060,Aditya Sharma,32,9835529407,"24,99,345",Trend Follower
G061,Radhika Menon,28,9866623995,"10,19,604",VIP
G062,Aniket Verma,49,9843528453,"5,66,187",Trend Follower
G063,Diya Bose,55,9823141087,"4,62,182",Family Shopper
G064,Vivek Patel,20,9822517517,"12,41,447",Luxury
G065,Neha Khan,46,9875181648,"22,68,963",Frequent
G066,Suresh Reddy,45,9817869910,"9,40,538",Value Seeker
G067,Varun Malhotra,20,9862401521,"13,62,342",Trend Follower
G068,Deepak Singh,38,9866775103,"22,91,247",Luxury
G069,Madhuri Bhatia,32,9849823450,"11,63,103",Budget
G070,Aarav Das,57,9882772208,"5,05,674",Student
G071,Kriti Nair,23,9816729990,"22,49,795",Family Shopper
G072,Karan Jain,53,9831130263,"4,88,570",Family Shopper
G073,Anjali Iyer,25,9834941004,"5,37,399",Occasional
G074,Ritika Mishra,24,9841568532,"19,43,557",Premium
G075,Tanya Gupta,56,9843046464,"4,16,688",Occasional
G076,Pranav Chopra,25,9866267415,"24,42,709",Student
G077,Nidhi Joshi,36,9837415205,"15,67,782",Frequent
G078,Sanjay Ahuja,36,9863121477,"7,98,943",VIP
G079,Sneha Kapoor,49,9852436584,"5,54,267",Budget
G080,Rohan Sharma,49,9893370583,"6,69,351",Premium
G081,Asha Menon,54,9838609087,"23,71,834",VIP
G082,Harsh Verma,28,9856843172,"5,38,531",Frequent
G083,Simran Bose,43,9848250360,"9,11,638",Trend Follower
G084,Gaurav Patel,54,9850603163,"24,68,538",Budget
G085,Pallavi Khan,55,9850181935,"6,84,473",Luxury
G086,Amit Reddy,36,9825492573,"6,98,941",Family Shopper
G087,Pooja Malhotra,29,9846553958,"14,31,771",Occasional
G088,Manoj Singh,33,9856020613,"11,03,949",VIP
G089,Isha Bhatia,52,9875569635,"13,03,278",Budget
G090,Yash Das,25,9895132217,"20,26,605",VIP
G091,Lakshmi Nair,22,9810475894,"16,49,037",Luxury
G092,Tarun Jain,36,9831687165,"21,03,192",Family Shopper
G093,Priya Iyer,47,9885283645,"2,90,557",Premium
G094,Vikram Mishra,24,9830005727,"4,01,112",Student
G095,Divya Gupta,57,9884158663,"8,71,150",Value Seeker
G096,Siddharth Chopra,28,9815614174,"15,42,929",Student
G097,Shreya Joshi,22,9858024342,"11,31,124",Frequent
G098,Anirudh Ahuja,26,9857469942,"19,54,470",Occasional
G099,Mansi Kapoor,29,9841774346,"9,31,581",Luxury
G100,Rahul Sharma,46,9813326769,"10,02,293",Student
