OrderId,GuestId,ProdcutID,OrderDate,CurrentStatus,DeliveredFlag,ShippingAddress,TrackingNumber
O300001,G001,P049,2025-01-21,Processing,N,"Flat 223, Connaught Place, Jaipur, Rajasthan",TRK300001
O300002,G001,P045,2025-08-08,Delivered,Y,"Apt 220, FC Road, Kochi, Kerala",TRK300002
O300003,G001,P003,2026-02-01,Delivered,Y,"House 234, FC Road, Jaipur, Rajasthan",TRK300003
O300004,G001,P025,2026-03-22,Cancelled,N,"Apt 127, MG Road, Kolkata, West Bengal",TRK300004
O300005,G002,P009,2025-08-27,Processing,N,"Apt 224, Aundh ITI Road, Pune, Maharashtra",TRK300005
O300006,G002,P007,2025-04-12,Processing,N,"House 37, FC Road, Bengaluru, Karnataka",TRK300006
O300007,G002,P056,2024-06-07,Cancelled,N,"Flat 201, Banjara Hills Rd 12, Mumbai, Maharashtra",TRK300007
O300008,G002,P022,2025-12-10,Processing,N,"House 21, Anna Salai, Kochi, Kerala",TRK300008
O300009,G003,P055,2026-05-29,Cancelled,N,"Flat 245, Anna Salai, Ahmedabad, Gujarat",TRK300009
O300010,G003,P041,2026-06-27,Cancelled,N,"House 10, Indiranagar 12th Main, Jaipur, Rajasthan",TRK300010
O300011,G003,P016,2025-12-01,Cancelled,N,"Apt 192, Indiranagar 12th Main, Chennai, Tamil Nadu",TRK300011
O300012,G003,P028,2026-02-17,Delivered,Y,"House 224, Indiranagar 12th Main, Kolkata, West Bengal",TRK300012
O300013,G004,P029,2025-12-11,Delivered,Y,"Apt 12, Anna Salai, Chennai, Tamil Nadu",TRK300013
O300014,G004,P051,2024-10-27,Delivered,Y,"Flat 111, Marine Drive, Pune, Maharashtra",TRK300014
O300015,G004,P016,2025-02-25,Processing,N,"House 203, Marine Drive, Noida, Uttar Pradesh",TRK300015
O300016,G004,P011,2024-03-21,Delivered,Y,"Flat 159, Connaught Place, Noida, Uttar Pradesh",TRK300016
O300017,G005,P032,2024-05-26,Processing,N,"Flat 164, Banjara Hills Rd 12, Hyderabad, Telangana",TRK300017
O300018,G005,P030,2025-11-13,Delivered,Y,"Flat 231, Banjara Hills Rd 12, Bengaluru, Karnataka",TRK300018
O300019,G005,P044,2024-06-10,Processing,N,"Flat 242, Anna Salai, Mumbai, Maharashtra",TRK300019
O300020,G005,P038,2025-10-16,Delivered,Y,"House 65, Aundh ITI Road, Kochi, Kerala",TRK300020
